X,Y,OBJECTID,SITENUMBER,TERRITORY,NEST,NESTYEAR,last_edited_date
-84.7549511785056,29.7100530300932,241,Frank04,3,A,2006,
-84.7555511812501,29.7096200344609,242,Frank04,3,B,2006,
-84.752434188911,29.712236029624,243,Frank04,4,A,2006,
-84.7327182794655,29.7289200254029,244,Frank04,5,A,2006,
-84.7412012440683,29.7217360204766,245,Frank04,6,A,2006,
-84.7407342404948,29.722486031903,246,Frank04,6,B,2006,
-84.7304682826481,29.7303200294943,247,Frank04,7,A,2006,
-84.7314012899702,29.7302200307971,248,Frank04,7,B,2006,
-84.7272513006313,29.7339030244119,249,Frank04,8,A,2006,
-84.7272512880549,29.7339200144937,250,Frank04,8,B,2006,
-84.7229683094264,29.7367360146724,251,Frank04,10,A,2006,
-84.7242343015631,29.7364200259606,252,Frank04,10,B,2006,
-84.7253183013113,29.7360200260354,253,Frank04,10,C,2006,
-84.7669181035292,29.6930700292024,254,Frank04,14,A,2006,
-84.6924684394054,29.7655860274067,255,Frank04,15,A,2006,
-84.6924014349667,29.7655360300594,256,Frank04,15,B,2006,
-84.7036513921042,29.7556360154187,257,Frank04,16,A,2006,
-84.5716687456215,29.8262701168799,258,Frank05,4,A,2006,
-84.5726847482927,29.8287361167186,259,Frank05,5,A,2006,
-84.5714687447067,29.8216861157567,260,Frank05,7,A,2006,
-84.5718847419383,29.8204201171442,261,Frank05,8,A,2006,
-84.5727517239853,29.8171701005456,262,Frank05,9,A,2006,
-84.5721347430819,29.8189861012627,263,Frank05,9,B,2006,
-84.5722017439274,29.8183201056681,264,Frank05,11,A,2006,
-84.6719514869497,29.7794230364619,265,Frank05,2,A,2006,
-84.4353689908178,29.910036244247,266,Frank07,2,A,2006,
-85.3378829089472,29.8517524723451,267,Gulf02,1,A,2006,
-85.3456169319279,29.8665194809971,268,Gulf02,3,A,2006,
-85.3460999335983,29.8681024846395,269,Gulf02,5,A,2006,
-85.3372498895226,29.8508694761985,270,Gulf02,5,B,2006,
-85.3413169149534,29.85605246699,271,Gulf02,9,A,2006,
-85.3373169029445,29.8511024826328,272,Gulf02,9,B,2006,
-85.338916894992,29.8522354723701,273,Gulf02,9,C,2006,
-85.414049834789,29.8070853482747,274,Gulf05,2,A,2006,
-85.4152828578564,29.8160023585889,275,Gulf05,3,A,2006,
-85.4154498573626,29.8159023604507,276,Gulf05,3,B,2006,
-85.4152168541409,29.8158023497418,277,Gulf05,4,A,2006,
-85.4155168662929,29.8151193519525,278,Gulf05,4,B,2006,
